Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/img_Simikro_profile-image rounded-circle""))",Firefox 138.0.4,,,20-05-2025 03:18:40,20-05-2025 03:18:41,0.656s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Keluar""))",Firefox 138.0.4,,,20-05-2025 03:18:41,20-05-2025 03:18:41,0.752s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Ya""))",Firefox 138.0.4,,,20-05-2025 03:18:41,20-05-2025 03:18:46,4.949s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Firefox 138.0.4,,,20-05-2025 03:18:46,20-05-2025 03:18:48,1.361s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:18:48,20-05-2025 03:18:49,0.751s,PASSED
closeBrowser(),Firefox 138.0.4,,,20-05-2025 03:18:49,20-05-2025 03:18:50,1.561s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginAdminPT,Firefox 138.0.4,Logs in as an institution administrator.,,20-05-2025 03:18:50,20-05-2025 03:19:28,38.263s,PASSED
"DATA BINDING - {""(Default) Role"":""AdminPT"",""(Default) Email"":""admin1@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Firefox 138.0.4,,,20-05-2025 03:18:50,20-05-2025 03:19:02,11.759s,PASSED
navigateToUrl(URL_Test_Env),Firefox 138.0.4,,,20-05-2025 03:19:02,20-05-2025 03:19:07,5.075s,PASSED
maximizeWindow(),Firefox 138.0.4,,,20-05-2025 03:19:07,20-05-2025 03:19:08,0.712s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Firefox 138.0.4,,,20-05-2025 03:19:08,20-05-2025 03:19:10,1.897s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:19:10,20-05-2025 03:19:11,1.256s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Firefox 138.0.4,,,20-05-2025 03:19:11,20-05-2025 03:19:16,5.052s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Firefox 138.0.4,,,20-05-2025 03:19:16,20-05-2025 03:19:17,0.829s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Firefox 138.0.4,,,20-05-2025 03:19:17,20-05-2025 03:19:17,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Firefox 138.0.4,,,20-05-2025 03:19:17,20-05-2025 03:19:24,6.970s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Firefox 138.0.4,,,20-05-2025 03:19:24,20-05-2025 03:19:25,0.872s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:19:25,20-05-2025 03:19:28,3.042s,PASSED
,,,,,,,
Test Cases/Common/TC_EditProfile,Firefox 138.0.4,Edits user profile information.,,20-05-2025 03:19:28,20-05-2025 03:19:58,29.727s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""), 0)",Firefox 138.0.4,,,20-05-2025 03:19:28,20-05-2025 03:19:29,0.325s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""))",Firefox 138.0.4,,,20-05-2025 03:19:29,20-05-2025 03:19:29,0.601s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""), 0)",Firefox 138.0.4,,,20-05-2025 03:19:29,20-05-2025 03:19:30,0.790s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""))",Firefox 138.0.4,,,20-05-2025 03:19:30,20-05-2025 03:19:34,3.567s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""), 0)",Firefox 138.0.4,,,20-05-2025 03:19:34,20-05-2025 03:19:43,9.474s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""))",Firefox 138.0.4,,,20-05-2025 03:19:43,20-05-2025 03:19:50,6.831s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""), 0)",Firefox 138.0.4,,,20-05-2025 03:19:50,20-05-2025 03:19:51,0.520s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""))",Firefox 138.0.4,,,20-05-2025 03:19:51,20-05-2025 03:19:58,7.432s,PASSED
,,,,,,,
Test Cases/User Flow/AdminPT/TC_ValidatingSubmission,Firefox 138.0.4,Validates a student's submission as an institution administrator.,,20-05-2025 03:19:58,20-05-2025 03:20:40,42.262s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/span_Pengajuan Konversi""))",Firefox 138.0.4,,,20-05-2025 03:19:59,20-05-2025 03:20:06,7.398s,PASSED
"click(findTestObject(""Page_Report - Simikro/td_Teknik Informatika""))",Firefox 138.0.4,,,20-05-2025 03:20:06,20-05-2025 03:20:13,6.119s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/td_Eko Prasetyo""))",Firefox 138.0.4,,,20-05-2025 03:20:13,20-05-2025 03:20:17,4.325s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:20:17,20-05-2025 03:20:21,3.739s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Validasi Berkas""))",Firefox 138.0.4,,,20-05-2025 03:20:21,20-05-2025 03:20:25,4.680s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_laprak""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:25,20-05-2025 03:20:26,0.442s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_laprak""))",Firefox 138.0.4,,,20-05-2025 03:20:26,20-05-2025 03:20:26,0.552s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_sertifikat""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:26,20-05-2025 03:20:27,0.254s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_sertifikat""))",Firefox 138.0.4,,,20-05-2025 03:20:27,20-05-2025 03:20:27,0.455s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_dokumentasi""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:27,20-05-2025 03:20:27,0.272s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_dokumentasi""))",Firefox 138.0.4,,,20-05-2025 03:20:27,20-05-2025 03:20:28,0.509s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_NILAI REKOMENDASI PROGRAM_nilai_sertifikat""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:28,20-05-2025 03:20:28,0.359s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/input_NILAI REKOMENDASI PROGRAM_nilai_sertifikat""), ""90"")",Firefox 138.0.4,,,20-05-2025 03:20:28,20-05-2025 03:20:29,0.687s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_tes_mikroskill""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:29,20-05-2025 03:20:29,0.272s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_tes_mikroskill""))",Firefox 138.0.4,,,20-05-2025 03:20:29,20-05-2025 03:20:30,0.551s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_TIDAK                                _1c4649""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:30,20-05-2025 03:20:30,0.259s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/input_TIDAK                                _1c4649""), ""90"")",Firefox 138.0.4,,,20-05-2025 03:20:30,20-05-2025 03:20:31,0.641s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_MAKSIMAL SKS_maks_sks""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:31,20-05-2025 03:20:31,0.271s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/input_MAKSIMAL SKS_maks_sks""), ""20"")",Firefox 138.0.4,,,20-05-2025 03:20:31,20-05-2025 03:20:31,0.527s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/textarea_KOMENTAR_feedback""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:31,20-05-2025 03:20:32,0.281s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/textarea_KOMENTAR_feedback""), ""Okay"")",Firefox 138.0.4,,,20-05-2025 03:20:32,20-05-2025 03:20:32,0.577s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/button_Save""), 0)",Firefox 138.0.4,,,20-05-2025 03:20:32,20-05-2025 03:20:33,0.405s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/button_Save""))",Firefox 138.0.4,,,20-05-2025 03:20:33,20-05-2025 03:20:37,4.285s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/span_MENUNGGU PENILAIAN""), ""MENUNGGU PENILAIAN"")",Firefox 138.0.4,,,20-05-2025 03:20:37,20-05-2025 03:20:38,0.925s,PASSED
