Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""http://127.0.0.1:8000/dashboard"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:37,20-05-2025 03:18:41,4.403s,PASSED
,,,,,,,
Test Cases/Common/TC_Logout,Edge Chromium 136.0.3240.76,Logs out the current user session.,,20-05-2025 03:18:41,20-05-2025 03:18:52,11.020s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/img_Simikro_profile-image rounded-circle""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:42,20-05-2025 03:18:43,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Keluar""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:43,20-05-2025 03:18:43,0.575s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Ya""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:43,20-05-2025 03:18:47,4.059s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:47,20-05-2025 03:18:49,1.355s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:49,20-05-2025 03:18:50,1.131s,PASSED
closeBrowser(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:50,20-05-2025 03:18:52,2.299s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginAdminPT,Edge Chromium 136.0.3240.76,Logs in as an institution administrator.,,20-05-2025 03:18:52,20-05-2025 03:19:27,34.484s,PASSED
"DATA BINDING - {""(Default) Role"":""AdminPT"",""(Default) Email"":""admin1@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:52,20-05-2025 03:18:57,5.046s,PASSED
navigateToUrl(URL_Test_Env),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:57,20-05-2025 03:19:01,3.748s,PASSED
maximizeWindow(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:01,20-05-2025 03:19:02,0.684s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:02,20-05-2025 03:19:04,2.176s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:04,20-05-2025 03:19:06,1.826s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:06,20-05-2025 03:19:12,5.796s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:12,20-05-2025 03:19:14,2.046s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:14,20-05-2025 03:19:15,1.854s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:15,20-05-2025 03:19:25,9.119s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:25,20-05-2025 03:19:25,0.449s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:25,20-05-2025 03:19:27,1.555s,PASSED
,,,,,,,
Test Cases/Common/TC_EditProfile,Edge Chromium 136.0.3240.76,Edits user profile information.,,20-05-2025 03:19:27,20-05-2025 03:20:06,39.764s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:27,20-05-2025 03:19:27,0.316s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:27,20-05-2025 03:19:27,0.445s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:27,20-05-2025 03:19:28,0.573s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:28,20-05-2025 03:19:34,5.626s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:34,20-05-2025 03:19:50,16.625s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:50,20-05-2025 03:19:58,7.531s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:58,20-05-2025 03:19:59,0.896s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:59,20-05-2025 03:20:06,7.676s,PASSED
,,,,,,,
Test Cases/User Flow/AdminPT/TC_ValidatingSubmission,Edge Chromium 136.0.3240.76,Validates a student's submission as an institution administrator.,,20-05-2025 03:20:06,20-05-2025 03:20:49,42.099s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/span_Pengajuan Konversi""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:07,20-05-2025 03:20:14,6.816s,PASSED
"click(findTestObject(""Page_Report - Simikro/td_Teknik Informatika""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:14,20-05-2025 03:20:20,6.160s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/td_Eko Prasetyo""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:20,20-05-2025 03:20:26,5.333s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:26,20-05-2025 03:20:27,1.332s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Validasi Berkas""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:27,20-05-2025 03:20:30,2.639s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_laprak""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:30,20-05-2025 03:20:30,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_laprak""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:30,20-05-2025 03:20:31,0.454s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_sertifikat""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:31,20-05-2025 03:20:31,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_sertifikat""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:31,20-05-2025 03:20:31,0.417s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_dokumentasi""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:31,20-05-2025 03:20:32,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_dokumentasi""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:32,20-05-2025 03:20:32,0.379s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_NILAI REKOMENDASI PROGRAM_nilai_sertifikat""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:32,20-05-2025 03:20:32,0.340s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/input_NILAI REKOMENDASI PROGRAM_nilai_sertifikat""), ""90"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:32,20-05-2025 03:20:33,0.754s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_tes_mikroskill""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:33,20-05-2025 03:20:33,0.388s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/input_VALID_tes_mikroskill""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:33,20-05-2025 03:20:34,0.421s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_TIDAK                                _1c4649""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:34,20-05-2025 03:20:34,0.340s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/input_TIDAK                                _1c4649""), ""90"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:34,20-05-2025 03:20:35,0.891s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/input_MAKSIMAL SKS_maks_sks""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:35,20-05-2025 03:20:36,0.850s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/input_MAKSIMAL SKS_maks_sks""), ""20"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:36,20-05-2025 03:20:37,1.166s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/textarea_KOMENTAR_feedback""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:37,20-05-2025 03:20:38,0.449s,PASSED
"setText(findTestObject(""Object Repository/Page_report - Simikro/textarea_KOMENTAR_feedback""), ""Okay"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:38,20-05-2025 03:20:38,0.841s,PASSED
