Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
navigateToUrl(URL_Test_Env),Chrome 136.0.7103.93,,,15-05-2025 02:32:58,15-05-2025 02:32:59,0.784s,PASSED
maximizeWindow(),Chrome 136.0.7103.93,,,15-05-2025 02:32:59,15-05-2025 02:32:59,0.097s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/img""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:59,15-05-2025 02:32:59,0.305s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/h2_Simikro""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:59,15-05-2025 02:33:00,0.282s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/p_Simikro adalah sistem digital inovatif yang dirancang untuk mempermudah evaluasi capaian microskill dalam program Merdeka Belajar Kampus Merdeka (MBKM). Dengan platform ini, mahasiswa dan dosen dapat mengakses, menilai""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:00,15-05-2025 02:33:00,0.264s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/p_Mahasiswa dapat memantau hasil evaluasi secara real-time, memahami standar penilaian, serta mendapatkan umpan balik langsung dari dosen. Sementara itu, dosen dapat melakukan penilaian dengan lebih sistematis melalui fo""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:00,15-05-2025 02:33:00,0.268s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Chrome 136.0.7103.93,,,15-05-2025 02:33:00,15-05-2025 02:33:01,0.770s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:01,15-05-2025 02:33:02,1.309s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Chrome 136.0.7103.93,,,15-05-2025 02:33:02,15-05-2025 02:33:03,0.710s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Chrome 136.0.7103.93,,,15-05-2025 02:33:03,15-05-2025 02:33:03,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:03,15-05-2025 02:33:06,2.437s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dashboard - Simikro/h1_Dashboard""), ""Dashboard"")",Chrome 136.0.7103.93,,,15-05-2025 02:33:06,15-05-2025 02:33:06,0.494s,PASSED
"verifyElementText(findTestObject(""Page_Dashboard - Simikro/span_Prodi_1""), Role)",Chrome 136.0.7103.93,,,15-05-2025 02:33:06,15-05-2025 02:33:06,0.269s,PASSED
"verifyElementText(findTestObject(""Page_Dashboard - Simikro/span_Prodi""), Role)",Chrome 136.0.7103.93,,,15-05-2025 02:33:06,15-05-2025 02:33:07,0.268s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Chrome 136.0.7103.93,,,15-05-2025 02:33:07,15-05-2025 02:33:07,0.766s,PASSED
,,,,,,,
Test Cases/Common/TC_Logout,Chrome 136.0.7103.93,,,15-05-2025 02:33:07,15-05-2025 02:33:12,4.685s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/img_Simikro_profile-image rounded-circle""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:08,15-05-2025 02:33:08,0.313s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Keluar""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:08,15-05-2025 02:33:08,0.363s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Ya""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:08,15-05-2025 02:33:10,1.697s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/img""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:10,15-05-2025 02:33:10,0.486s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/h2_Simikro""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:10,15-05-2025 02:33:11,0.264s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/p_Simikro adalah sistem digital inovatif yang dirancang untuk mempermudah evaluasi capaian microskill dalam program Merdeka Belajar Kampus Merdeka (MBKM). Dengan platform ini, mahasiswa dan dosen dapat mengakses, menilai""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:11,15-05-2025 02:33:11,0.270s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/p_Mahasiswa dapat memantau hasil evaluasi secara real-time, memahami standar penilaian, serta mendapatkan umpan balik langsung dari dosen. Sementara itu, dosen dapat melakukan penilaian dengan lebih sistematis melalui fo""))",Chrome 136.0.7103.93,,,15-05-2025 02:33:11,15-05-2025 02:33:11,0.256s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Chrome 136.0.7103.93,,,15-05-2025 02:33:11,15-05-2025 02:33:12,0.701s,PASSED
closeBrowser(),Chrome 136.0.7103.93,,,15-05-2025 02:33:12,15-05-2025 02:33:12,0.297s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginMahasiswa,Chrome 136.0.7103.93,,,15-05-2025 02:33:12,15-05-2025 02:33:22,10.083s,PASSED
